Feature,6_7_uniformity-test_z_FDR_0.01.nii.gz,6_6_uniformity-test_z_FDR_0.01.nii.gz,6_5_uniformity-test_z_FDR_0.01.nii.gz,6_4_uniformity-test_z_FDR_0.01.nii.gz,6_3_uniformity-test_z_FDR_0.01.nii.gz,6_2_uniformity-test_z_FDR_0.01.nii.gz,6_1_uniformity-test_z_FDR_0.01.nii.gz,2_5_uniformity-test_z_FDR_0.01.nii.gz,2_4_uniformity-test_z_FDR_0.01.nii.gz,2_3_uniformity-test_z_FDR_0.01.nii.gz,2_2_uniformity-test_z_FDR_0.01.nii.gz,2_1_uniformity-test_z_FDR_0.01.nii.gz,11_4_uniformity-test_z_FDR_0.01.nii.gz,11_3_uniformity-test_z_FDR_0.01.nii.gz,11_2_uniformity-test_z_FDR_0.01.nii.gz,11_1_uniformity-test_z_FDR_0.01.nii.gz,4_5_uniformity-test_z_FDR_0.01.nii.gz,4_4_uniformity-test_z_FDR_0.01.nii.gz,4_3_uniformity-test_z_FDR_0.01.nii.gz,4_2_uniformity-test_z_FDR_0.01.nii.gz,4_1_uniformity-test_z_FDR_0.01.nii.gz,12_1_uniformity-test_z_FDR_0.01.nii.gz,12_2_uniformity-test_z_FDR_0.01.nii.gz
reward,0.0222,0.0958,0.1457,0.0386,0.0692,0.1187,0.1489,0.2601,0.2069,0.2156,0.2528,0.2601,0.0476,0.0662,-0.0019,0.0105,0.1881,0.1788,0.2245,0.2198,0.2482,0.1483,0.0622
anticipation,0.0066,0.072,0.1069,0.0127,0.0547,0.1029,0.1578,0.2116,0.1934,0.18,0.2353,0.2116,0.0561,0.0809,0.0625,0.0692,0.1119,0.1246,0.1752,0.146,0.1872,0.195,0.1257
monetary,-0.0038,0.0657,0.1142,0.0067,0.0429,0.0891,0.1344,0.2022,0.1764,0.1744,0.2243,0.2022,0.0355,0.0676,0.0036,0.0267,0.1455,0.1374,0.1816,0.1705,0.1866,0.1588,0.0857
responses,0.0599,0.0905,0.0946,0.0933,0.106,0.1132,0.1389,0.215,0.1724,0.1679,0.2076,0.215,0.0808,0.0868,0.0319,0.0421,0.0928,0.1164,0.1492,0.1659,0.2006,0.1566,0.0871
motivation,0.0487,0.1017,0.1331,0.0632,0.0847,0.1115,0.1432,0.1867,0.1678,0.1572,0.2057,0.1867,0.0875,0.0885,0.0616,0.0696,0.1511,0.1369,0.1632,0.172,0.1793,0.1592,0.1049
loss,-0.1269,-0.0958,-0.0603,-0.1431,-0.1389,-0.1081,-0.1053,-0.0293,-0.0643,-0.0578,-0.0457,-0.0293,-0.1636,-0.1473,-0.2226,-0.2453,-0.0438,-0.0971,-0.0702,-0.0764,-0.0619,-0.1315,-0.207
incentive,0.008,0.0676,0.1201,0.0357,0.0619,0.0963,0.1457,0.217,0.191,0.1791,0.2371,0.217,0.0545,0.0796,0.0324,0.0557,0.1561,0.143,0.1825,0.1855,0.1866,0.1716,0.107
punishment,0.0831,0.1182,0.1421,0.1114,0.1231,0.137,0.162,0.1825,0.19,0.1777,0.1933,0.1825,0.1008,0.124,0.0653,0.072,0.1507,0.1682,0.1791,0.1808,0.184,0.1493,0.1043
gain,-0.0375,-0.016,0.0104,-0.0231,-0.0025,0.0089,0.0899,0.11,0.1033,0.0904,0.1422,0.11,0.0056,0.0476,0.0157,0.0285,0.0204,0.0291,0.0707,0.0355,0.077,0.1097,0.0651
outcome,0.0744,0.1188,0.1422,0.0774,0.1024,0.1353,0.1551,0.2102,0.1843,0.196,0.2033,0.2102,0.0945,0.1186,0.0561,0.0705,0.1497,0.1619,0.203,0.1843,0.1944,0.1463,0.0963
social,0.2914,0.264,0.2121,0.2897,0.285,0.246,0.1235,0.1502,0.1468,0.1611,0.0688,0.1502,0.1381,0.1302,0.0011,-0.0383,0.1981,0.2256,0.2059,0.2829,0.1879,-0.0286,-0.0598
empathy,0.2,0.1799,0.1448,0.2067,0.2212,0.1929,0.1635,0.1505,0.1586,0.1451,0.1381,0.1505,0.1394,0.1469,0.1228,0.1141,0.1115,0.1544,0.1503,0.189,0.158,0.1338,0.1167
moral,0.2535,0.2317,0.1893,0.2515,0.2534,0.2342,0.1478,0.1357,0.1546,0.1549,0.0877,0.1357,0.1223,0.1495,0.0283,0.0096,0.1602,0.2011,0.1777,0.2003,0.1432,0.0171,-0.0043
person,0.232,0.1894,0.1526,0.2181,0.2173,0.1722,0.0731,0.0514,0.0691,0.0887,0.0062,0.0514,0.089,0.0981,0.0145,-0.0008,0.1599,0.1876,0.1398,0.1994,0.0993,-0.0297,-0.018
judgments,0.2784,0.2672,0.2211,0.2585,0.2709,0.2457,0.1806,0.1352,0.1588,0.1645,0.1073,0.1352,0.2325,0.2177,0.2029,0.2082,0.1891,0.2288,0.1983,0.2129,0.1591,0.1027,0.1566
mentalizing,0.3376,0.2931,0.224,0.3309,0.3528,0.3089,0.2032,0.1558,0.2009,0.2074,0.1011,0.1558,0.1968,0.2196,0.0759,0.0707,0.1646,0.2479,0.2312,0.267,0.1759,0.0435,0.0497
theory,0.3205,0.2944,0.2537,0.3174,0.3228,0.2967,0.1785,0.157,0.1763,0.1934,0.0893,0.157,0.188,0.1984,0.0977,0.0931,0.2158,0.257,0.2348,0.2791,0.1948,0.0434,0.0628
perspective,0.1557,0.1248,0.089,0.1474,0.1421,0.1189,0.0657,0.0329,0.0522,0.0493,0.0057,0.0329,0.0976,0.096,0.0721,0.0517,0.0808,0.1017,0.0669,0.0854,0.05,-0.0059,0.0259
cognition,0.1726,0.1691,0.1472,0.1692,0.1667,0.1625,0.0715,0.059,0.0788,0.0973,0.0201,0.059,0.085,0.089,0.0029,0.0087,0.1442,0.158,0.1324,0.1678,0.0931,-0.0182,-0.0086
mind,0.3409,0.3079,0.247,0.3265,0.3332,0.3058,0.1687,0.1258,0.1583,0.1776,0.0544,0.1258,0.1698,0.1914,0.0717,0.0519,0.2063,0.2564,0.2237,0.2777,0.1745,0.008,0.0203
